table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Gainesville, FL Metro Area","305,076","305,076","305,334","306,979","308,240","308,865","311,743","316,031","321,418","324,485","327,933","329,128"
".Gainesville, GA Metro Area","179,684","179,724","180,033","182,269","184,102","186,431","189,142","192,245","196,159","198,953","201,538","204,441"
".Gettysburg, PA Metro Area","101,407","101,428","101,479","101,474","101,254","101,137","101,353","101,808","101,911","102,562","103,062","103,009"
".Glens Falls, NY Metro Area","128,923","128,946","129,021","128,827","128,420","127,848","127,341","126,666","126,233","125,924","125,489","125,148"
".Goldsboro, NC Metro Area","122,623","122,661","122,886","124,038","124,559","124,587","124,586","124,342","124,269","123,034","123,237","123,131"
".Grand Forks, ND-MN Metro Area","98,461","98,464","98,633","98,194","99,093","100,741","101,260","101,849","102,171","102,126","101,766","100,815"
".Grand Island, NE Metro Area","72,726","72,744","72,936","73,547","74,238","74,652","75,240","75,319","75,598","75,456","75,476","75,553"
".Grand Junction, CO Metro Area","146,723","146,733","146,259","147,174","147,317","147,175","147,113","148,025","149,736","151,170","152,951","154,210"
".Grand Rapids-Kentwood, MI Metro Area","993,670","993,663","994,262","1,002,556","1,013,655","1,025,473","1,036,234","1,044,842","1,054,710","1,063,670","1,071,370","1,077,370"
".Grants Pass, OR Metro Area","82,713","82,719","82,879","82,702","82,755","83,131","83,377","84,528","85,504","86,584","87,150","87,487"
".Great Falls, MT Metro Area","81,327","81,326","81,507","81,714","81,622","82,194","82,056","81,878","81,562","81,633","81,688","81,366"
".Greeley, CO Metro Area","252,825","252,827","254,207","258,827","264,131","270,165","277,112","285,819","295,712","305,885","314,815","324,492"
".Green Bay, WI Metro Area","306,241","306,241","306,754","308,613","310,605","311,947","314,003","315,652","317,369","319,694","321,384","322,906"
".Greensboro-High Point, NC Metro Area","723,801","723,923","725,264","730,095","735,475","740,604","746,497","751,285","758,635","762,071","766,473","771,851"
".Greenville, NC Metro Area","168,148","168,176","168,863","170,791","172,980","174,380","174,974","176,071","177,171","178,607","179,575","180,742"
".Greenville-Anderson, SC Metro Area","824,112","824,031","825,625","833,220","840,903","848,417","860,285","872,521","884,327","895,357","907,028","920,477"
".Gulfport-Biloxi, MS Metro Area","388,488","388,591","389,324","393,744","396,803","399,940","403,841","406,604","408,865","412,754","414,686","417,665"
