table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Springfield, OH Metro Area","138,333","138,339","138,274","137,811","137,171","136,638","136,311","135,746","134,723","134,549","134,528","134,083"
".State College, PA Metro Area","153,990","154,005","154,230","155,067","155,826","158,231","159,653","160,466","162,034","162,316","162,601","162,385"
".Staunton, VA Metro Area","118,502","118,496","118,314","118,774","118,463","119,110","119,469","120,019","120,747","121,744","122,628","123,120"
".Stockton, CA Metro Area","685,306","685,306","687,127","694,354","699,593","702,046","711,579","722,271","732,809","743,296","752,491","762,148"
".Sumter, SC Metro Area","142,427","142,434","142,555","142,018","142,126","142,007","141,877","141,180","141,334","140,443","140,151","140,466"
".Syracuse, NY Metro Area","662,577","662,624","663,110","662,482","660,902","661,773","660,085","657,648","654,391","651,164","650,281","648,593"
".Tallahassee, FL Metro Area","367,413","368,771","369,345","371,246","375,272","373,187","375,356","377,602","378,672","383,173","384,318","387,227"
".Tampa-St. Petersburg-Clearwater, FL Metro Area","2,783,243","2,783,485","2,788,366","2,813,269","2,843,636","2,880,536","2,927,395","2,983,928","3,048,963","3,106,922","3,154,649","3,194,831"
".Terre Haute, IN Metro Area","189,764","189,774","189,523","189,541","189,555","189,089","188,240","187,365","187,241","186,846","186,726","186,367"
".Texarkana, TX-AR Metro Area","149,198","149,194","149,332","149,515","149,609","149,509","149,229","149,244","149,543","149,567","149,347","148,761"
".The Villages, FL Metro Area","93,420","93,420","94,278","97,975","101,669","106,898","112,236","117,076","122,009","124,995","128,719","132,420"
".Toledo, OH Metro Area","651,429","651,435","651,372","650,166","648,750","648,403","647,228","645,973","645,441","644,364","643,089","641,816"
".Topeka, KS Metro Area","233,870","233,860","234,266","234,696","234,407","233,838","233,717","233,520","233,139","232,994","232,266","231,969"
".Trenton-Princeton, NJ Metro Area","366,513","367,485","367,713","367,378","368,554","369,429","368,909","368,124","367,699","368,168","368,188","367,430"
".Tucson, AZ Metro Area","980,263","980,263","981,620","988,381","993,052","997,127","1,004,229","1,009,103","1,016,707","1,026,391","1,036,554","1,047,279"
".Tulsa, OK Metro Area","937,478","937,523","939,833","945,750","952,484","961,904","969,421","980,926","988,706","991,330","993,135","998,626"
".Tuscaloosa, AL Metro Area","239,207","239,214","239,481","240,363","242,328","244,378","246,988","249,066","250,099","250,933","251,257","252,047"
".Twin Falls, ID Metro Area","99,604","99,596","99,987","100,620","101,128","102,662","103,912","105,216","107,252","109,142","110,095","111,290"
".Tyler, TX Metro Area","209,714","209,725","210,408","212,764","214,811","216,475","219,642","222,390","225,161","227,195","229,749","232,751"
".Urban Honolulu, HI Metro Area","953,207","953,206","956,285","967,336","977,994","986,059","987,414","991,064","992,268","986,353","979,858","974,563"
".Utica-Rome, NY Metro Area","299,397","299,329","299,226","298,604","297,992","297,230","295,982","293,916","292,811","292,174","291,187","289,990"
".Valdosta, GA Metro Area","139,588","139,662","140,054","142,007","144,121","142,937","143,433","143,311","144,471","145,360","146,143","147,292"
".Vallejo, CA Metro Area","413,344","413,343","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643"
".Victoria, TX Metro Area","94,003","94,003","94,102","94,765","96,447","97,518","98,548","99,649","99,914","99,597","99,466","99,742"
".Vineland-Bridgeton, NJ Metro Area","156,898","156,627","156,699","157,043","156,934","156,098","156,009","154,712","153,233","151,423","150,635","149,527"
".Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1,713,954","1,713,955","1,717,036","1,723,208","1,734,121","1,741,366","1,750,937","1,756,340","1,758,763","1,760,926","1,763,713","1,768,901"
".Visalia, CA Metro Area","442,179","442,182","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195"
".Waco, TX Metro Area","252,772","252,766","253,808","255,700","256,938","258,685","260,376","262,660","264,829","268,971","271,427","273,920"
".Walla Walla, WA Metro Area","58,781","58,781","58,915","59,444","59,329","59,361","59,510","59,932","60,008","60,512","60,615","60,760"
".Warner Robins, GA Metro Area","167,595","167,626","168,508","171,561","173,592","174,689","175,717","176,293","178,507","180,163","182,886","185,409"
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","5,649,540","5,649,688","5,678,491","5,782,319","5,878,942","5,963,312","6,031,945","6,093,950","6,149,301","6,211,341","6,247,841","6,280,487"
"..Frederick-Gaithersburg-Rockville, MD Metro Division","1,205,162","1,204,687","1,209,820","1,228,469","1,244,724","1,256,301","1,267,998","1,277,815","1,285,845","1,297,444","1,303,421","1,310,235"
"..Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division","4,444,378","4,445,001","4,468,671","4,553,850","4,634,218","4,707,011","4,763,947","4,816,135","4,863,456","4,913,897","4,944,420","4,970,252"
".Waterloo-Cedar Falls, IA Metro Area","167,819","167,819","167,920","168,443","168,811","169,853","170,450","170,852","170,110","169,359","168,936","168,522"
".Watertown-Fort Drum, NY Metro Area","116,229","116,232","116,592","117,752","120,235","118,490","117,971","116,371","112,980","113,157","111,866","109,834"
".Wausau-Weston, WI Metro Area","162,806","162,804","162,829","162,844","162,870","163,189","163,241","163,181","162,935","163,203","163,094","163,285"
".Weirton-Steubenville, WV-OH Metro Area","124,454","124,455","124,329","123,482","122,680","122,139","121,507","120,665","119,269","118,074","116,982","116,074"
".Wenatchee, WA Metro Area","110,884","110,887","111,264","111,876","112,669","113,110","113,894","115,586","117,221","118,325","119,501","120,629"
".Wheeling, WV-OH Metro Area","147,950","147,957","147,899","147,260","146,527","145,938","144,968","144,157","142,955","141,255","140,059","138,948"
".Wichita, KS Metro Area","623,061","623,061","623,887","625,327","628,159","630,365","632,810","635,551","637,653","637,511","637,519","640,218"
".Wichita Falls, TX Metro Area","151,306","151,474","151,649","150,311","151,040","151,448","151,867","150,083","150,327","150,956","150,955","151,254"
".Williamsport, PA Metro Area","116,111","116,102","116,225","116,748","117,222","116,598","116,290","115,598","114,876","114,012","113,866","113,299"
".Wilmington, NC Metro Area","254,884","254,879","255,699","259,141","262,759","267,700","271,863","276,848","283,580","289,447","294,273","297,533"
".Winchester, VA-WV Metro Area","128,472","128,452","128,652","129,954","130,910","132,278","133,526","134,284","135,739","138,020","139,492","140,566"
".Winston-Salem, NC Metro Area","640,595","640,503","641,245","644,266","646,794","649,901","653,250","656,277","661,024","666,640","671,129","676,008"
".Worcester, MA-CT Metro Area","916,980","916,763","918,935","922,378","924,856","928,346","932,278","934,604","936,422","942,147","946,113","947,404"
".Yakima, WA Metro Area","243,231","243,240","244,256","245,926","246,127","246,485","246,870","247,800","249,327","249,922","250,562","250,873"
".York-Hanover, PA Metro Area","434,972","435,015","435,413","436,701","437,466","438,932","440,475","441,741","443,693","445,484","447,847","449,058"
".Youngstown-Warren-Boardman, OH-PA Metro Area","565,773","565,782","564,826","562,347","558,530","555,850","553,039","548,798","544,582","541,545","538,226","536,081"
".Yuba City, CA Metro Area","166,892","166,898","167,099","166,971","166,963","167,597","168,311","169,327","170,694","172,782","173,905","175,639"
".Yuma, AZ Metro Area","195,751","195,750","197,127","202,841","202,475","202,420","204,054","205,186","207,247","209,507","211,612","213,787"
.,,,,,,,,,,,,
.Puerto Rico,"3,725,789","3,726,157","3,721,525","3,678,732","3,634,488","3,593,077","3,534,874","3,473,232","3,406,672","3,325,286","3,193,354","3,193,694"
.In Metropolitan Statistical Area,"3,596,888","3,597,256","3,592,579","3,550,527","3,507,201","3,466,496","3,409,698","3,349,609","3,284,765","3,205,633","3,077,938","3,077,600"
".Aguadilla-Isabela, PR Metro Area","339,441","339,465","338,958","335,118","330,752","326,684","321,451","315,621","309,310","301,725","289,594","289,289"
".Arecibo, PR Metro Area","199,471","199,471","199,212","197,379","195,493","194,023","191,124","188,265","184,999","180,765","174,200","174,606"
".Guayama, PR Metro Area","84,214","84,194","84,057","82,811","82,192","81,430","80,239","78,963","77,613","75,882","72,738","72,914"
".Mayagüez, PR Metro Area","116,211","116,211","115,929","113,915","111,845","109,938","107,458","105,048","102,580","99,742","95,378","94,975"
".Ponce, PR Metro Area","262,630","262,630","261,924","257,719","253,345","249,504","244,760","239,275","233,160","226,541","216,312","215,295"
".San Germán, PR Metro Area","137,462","137,722","137,630","136,415","135,185","133,955","132,195","130,238","128,290","125,549","121,080","121,464"
".San Juan-Bayamón-Caguas, PR Metro Area","2,350,126","2,350,326","2,347,932","2,322,216","2,295,419","2,269,908","2,233,776","2,195,941","2,155,066","2,104,671","2,022,139","2,023,227"
".Yauco, PR Metro Area","107,333","107,237","106,937","104,954","102,970","101,054","98,695","96,258","93,747","90,758","86,497","85,830"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019. The Office of Management and Budget's statistical area delineations for metropolitan, micropolitan, and combined statistical areas, as well as metropolitan divisions, are those issued by that agency in September 2018. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019 (CBSA-MET-EST2019-ANNRES)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
