,,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat,lng,population,firstzip
Alpena,MI,0.02459877938878563,0.026652305243498375,0.027897542031167788,45.074,-83.4399,13541.0,49707
Longview,TX,0.03200726609657556,0.034259895143589514,0.03505849194714328,32.5193,-94.7621,100330.0,75602
Harrisonburg,VA,0.007767376059511388,0.00805176807158725,0.008370932961683453,38.4361,-78.8735,72386.0,22801
Tifton,GA,0.027690926630763224,0.029418674866731775,0.03026424747598866,31.4625,-83.5205,24466.0,31793
Warsaw,IN,0.02626482966711774,0.028670059940471226,0.029621246711650118,41.2448,-85.8464,33708.0,46582
Asheville,NC,0.04300036610314262,0.04544529307694356,0.046739166529797815,35.5704,-82.5536,312507.0,28806
Flagstaff,AZ,0.04090348479202888,0.04219316169282816,0.042851062445009136,35.1872,-111.6195,81974.0,86001
Huntingdon,PA,0.030085679835311296,0.03128368382791491,0.03209945072486042,40.5,-78.0097,11134.0,16652
Shawnee,OK,0.02528412449956363,0.02663545434272452,0.027600417590586845,35.3529,-96.965,36067.0,74804
Spearfish,SD,0.0251117983928959,0.02712588159096696,0.027491216213680003,44.4912,-103.8167,12836.0,57783
Ionia,MI,0.020030951200002978,0.021740328100568362,0.02261780651247003,42.9772,-85.0727,14122.0,48846
Bardstown,KY,0.02778708544792341,0.029756881941478408,0.030546041738680474,37.8174,-85.4548,21184.0,40004
Ozark,AL,0.01998886060117333,0.020732885301897985,0.021414550782159925,31.4508,-85.6473,11562.0,36360
Cullowhee,NC,0.012157682838316308,0.012584471727043356,0.012822006410000641,35.3107,-83.1815,6139.0,28723
Santa Rosa,CA,0.04416595415448832,0.04759501761279861,0.048261772864706565,38.4458,-122.7067,324634.0,95404
Napa,CA,0.052938384089774804,0.05751348104462228,0.059699520806937745,38.2976,-122.3011,85239.0,94558
Selinsgrove,PA,0.024643807204576484,0.025944372443740704,0.026755498164395153,40.8003,-76.8647,5902.0,17870
Oskaloosa,IA,0.018014912862410748,0.01922765591025044,0.019809293412941242,41.2922,-92.6403,12592.0,52577
Sterling,CO,0.03669974095856254,0.03925065441052,0.04076267133402611,40.6206,-103.1925,15780.0,80751
Charleston,IL,0.008974666781404128,0.009034783538077518,0.009406857700195115,39.4842,-88.1781,20090.0,61920
Price,UT,0.03053893644018424,0.03318895540020428,0.033901684450719394,39.604,-110.8004,13564.0,84501
Fort Smith,AR,0.024929715689847143,0.02651955441474141,0.027240118790291756,35.3493,-94.3695,125354.0,72901
Joplin,MO,0.03159967801439323,0.032471631205028384,0.03347489298363415,37.0758,-94.5018,84048.0,64804
Macomb,IL,0.022874200038540904,0.024118418116532148,0.024687779398722354,40.4721,-90.6816,18006.0,61455
