MSA,Violent Crime,Murder,Murder Rate,Population 2019 (DO NOT USE),Population 2010 (DO NOT USE),Population 10 year CAGR,Median income (dollars),Mean income (dollars),City,State,Population,Density,Zip Code,lat_x,lon,% Sale Price Change Since Feb,Avg Sale Price Last 12M,Sale Price Last,Sale Pr CAGR GFC,Sale Pr Standard Deviation,Unnamed: 0,Unnamed: 1,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat_y,lng,population,firstzip,% Rent Change Since Feb,2019 Annualized Rent,Avg Monthly Rent 2019,Avg Monthly Rent Last 12M,Last 12M Annualized Rent,Monthly Rent Last,Rent CAGR since 2014-01,Rent Standard Deviation,Affordability Rent/Median Inc,Affordability Rent/Avg Inc,Capitalization Rate Last
"Indianapolis, IN",11124.0,148.0,17.13607549,2074537.0,1892640.0,0.010248304089301108,62502.0,89360.0,Indianapolis,IN,1588961.0,935.0,46218,39.7771,-86.1458,0.05674780812120894,191259.75,199477.0,0.052935735345602586,0.014052685236736638,Indianapolis,IN,0.018495420069460918,0.0191558700963681,0.01990797674984757,39.7771,-86.1458,1588961.0,46218.0,0.030081300813008083,14351.0,1195.9166666666667,1238.5,14862.0,1267.0,0.03443645881484825,0.004056660802133489,0.22960865252311927,0.16059758281110117,0.07621931350481509
"Milwaukee, WI",9583.0,145.0,24.15056629,1575179.0,1556678.0,0.0013136235055430934,65845.0,88389.0,Milwaukee,WI,1365787.0,2369.0,53203,43.0642,-87.9673,0.05690666356970531,191674.58333333334,200213.0,0.05552510717671688,0.01668407884842781,Milwaukee,WI,0.027353172565302675,0.02929853394545545,0.030173731856111937,43.0642,-87.9673,1365787.0,53203.0,0.015315315315315381,13120.0,1093.3333333333333,1113.5,13362.0,1127.0,0.024509043482374926,0.004816278707160369,0.19925582808109954,0.14843475998144565,0.06754806131469984
"Dallas, TX",9038.0,136.0,10.44565303,7573136.0,6392065.0,0.019017445765447283,72265.0,100213.0,Dallas,TX,5743938.0,1526.0,75287,32.7936,-96.7662,0.03625854919901461,263875.9166666667,270907.0,0.07349461520768363,0.012663377887785914,,,,,,,,,,0.0057581573896352545,18506.0,1542.1666666666667,1564.75,18777.0,1572.0,0.038501672666161335,0.003655602316181576,0.2560852418183076,0.18466666001416981,0.06963275219909415
"Memphis, TN",11449.0,135.0,20.51871307,1346045.0,1317489.0,0.002385397299767833,54859.0,78640.0,Memphis,TN,1066967.0,792.0,38120,35.1046,-89.9773,0.058209374840259676,158555.25,165614.0,0.05564317879754954,0.013977041255950019,Memphis,TN,0.01901760601476643,0.020042779064735058,0.020643609726687773,35.1046,-89.9773,1066967.0,38120.0,0.04407294832826758,15264.0,1272.0,1328.8333333333333,15946.0,1374.0,0.03196562546250292,0.004034824265798625,0.2782405803970178,0.19409969481180062,0.09955680075355948
"Las Vegas, NV",14383.0,127.0,8.129904349,2266715.0,1952587.0,0.01671329537427413,62107.0,85925.0,Las Vegas,NV,2104198.0,1773.0,89107,36.2333,-115.2654,0.048032162505289966,291532.8333333333,302133.0,0.10765921417055546,0.04243886167903795,Las Vegas,NV,0.02666573591234189,0.029561800762536894,0.03059224622731138,36.2333,-115.2654,2104198.0,89107.0,0.0161403508771929,16695.0,1391.25,1429.9166666666667,17159.0,1448.0,0.048642404038280906,0.012251044107246927,0.2688102790345694,0.19429735234215886,0.057511096106681495
"Phoenix, AZ",9261.0,112.0,7.180665545,4948203.0,4204204.0,0.018269267214302998,67896.0,91755.0,Phoenix,AZ,4219697.0,1253.0,85008,33.5722,-112.0891,0.07908846250383461,292174.8333333333,309543.0,0.09804078148319362,0.03868776790912103,Phoenix,AZ,0.04064051582203665,0.04137057784170728,0.042266824260353664,33.5722,-112.0891,4219697.0,85008.0,0.030800821355236208,16823.0,1401.9166666666667,1470.3333333333333,17644.0,1506.0,0.061757994548323536,0.011168196608338397,0.24777601036879934,0.1833469565691243,0.0583828418022698
"Kansas City, MO",6709.0,109.0,23.02623935,2157990.0,2013361.0,0.007737757128179368,70215.0,90852.0,Kansas City,MO,1636715.0,607.0,64161,39.1239,-94.5541,0.054621341307298676,209855.83333333334,218314.0,0.05575851637197338,0.011210414317089612,Kansas City,MO,0.03108118050664932,0.03294896360441002,0.033850436649059734,39.1239,-94.5541,1636715.0,64161.0,0.025963149078726877,13995.0,1166.25,1201.0,14412.0,1225.0,0.034513658011180004,0.003236167861849461,0.19931638538773766,0.1540417382115969,0.06733420669311176
"Jacksonville, FL",5622.0,97.0,11.184676300000001,1559514.0,1348907.0,0.016250582926716106,65880.0,88458.0,Jacksonville,FL,1181496.0,470.0,32224,30.3322,-81.6749,0.03740263515651043,235807.33333333334,242663.0,0.067591187663393,0.024219757679617898,Jacksonville,FL,0.03487778907297967,0.03667036722625672,0.037349952087305516,30.3322,-81.6749,1181496.0,32224.0,0.018288222384784225,16080.0,1340.0,1372.3333333333333,16468.0,1392.0,0.03468023576617485,0.00699164180801745,0.24408014571949,0.18178118429084988,0.0688362049426571
"Atlanta, GA",5203.0,94.0,20.22766887,6020364.0,5302598.0,0.01420560223832501,71742.0,99456.0,Atlanta,GA,5449398.0,1441.0,30334,33.7627,-84.4224,0.04274414610786348,244462.08333333334,252586.0,0.08183502900301609,0.02081167144145109,Atlanta,GA,0.027262733976731512,0.02946702388074152,0.030634125288541588,33.7627,-84.4224,5449398.0,30334.0,0.01864951768488754,18247.0,1520.5833333333333,1561.5,18738.0,1584.0,0.050714481505445,0.006007812054503917,0.25434194753421985,0.18346806628056628,0.075253576999517
"San Antonio, TX",8594.0,94.0,6.422581248999999,2550960.0,2153009.0,0.01902350205211767,62355.0,84202.0,San Antonio,TX,2049293.0,1231.0,78112,29.4658,-98.5253,0.02701551679443015,217377.83333333334,221860.0,0.05116040784306808,0.011639763505124894,San Antonio,TX,0.026351982507196503,0.02748702016518001,0.02824896312764147,29.4658,-98.5253,2049293.0,78112.0,0.008245877061469287,15761.0,1313.4166666666667,1336.5833333333333,16039.0,1345.0,0.03175111502222605,0.00336011029649372,0.25276240878838907,0.1871808270587397,0.0727485801857027
"Oakland, CA",6051.0,85.0,20.26313468,,,,,,Oakland,CA,433031.0,2991.0,94621,37.7903,-122.2165,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisville, KY",4300.0,81.0,11.90213798,,,,,,Louisville,KY,1005654.0,905.0,40177,38.1663,-85.6485,0.0442957000170221,183719.91666666666,190184.0,0.04708894319899404,0.009807405278540631,,,,,,,,,,0.021847070506454846,11869.0,989.0833333333334,1011.8333333333334,12142.0,1029.0,0.03654832309994571,0.0028311540388085954,,,0.06492659740041223
